fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-07-20T00:08:00.695786+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,7,30000,40000,37.5,62.5,0.0,25.0,31.3,21.9,21.9,0.0,100.0,0.0,20260719 2340
2026-07-20T00:08:00.695786+09:00,보신각,보신각,POI010,KEY_3,한산한,4,350000,400000,80.3,19.7,0.0,48.0,0.0,23.7,28.3,0.0,100.0,0.0,20260719 2310
2026-07-20T00:08:00.695786+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,100000,150000,87.0,13.0,0.0,13.0,0.0,87.0,0.0,0.0,100.0,0.0,20260719 2320
2026-07-20T00:08:00.695786+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,보통,19,200000,250000,61.0,39.0,0.0,7.9,16.2,42.1,29.8,3.9,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,4,20000,30000,88.5,11.5,0.0,0.0,69.2,11.5,7.7,11.5,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,보통,24,500000,550000,79.4,20.6,0.0,43.1,55.8,1.1,0.0,0.0,83.9,16.1,20260719 2350
2026-07-20T00:08:00.695786+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,한산한,25,600000,650000,65.2,34.8,0.0,42.3,39.9,14.5,0.3,3.0,98.4,1.6,20260719 2350
2026-07-20T00:08:00.695786+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,23,350000,400000,39.8,60.2,0.0,44.4,25.8,4.6,8.4,16.8,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,보통,88,1800000,1900000,53.7,46.3,1.8,38.6,40.2,11.4,3.4,4.6,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,가락시장,가락시장,POI058,KEY_2,보통,9,600000,650000,56.4,43.6,0.0,0.0,56.4,16.7,0.0,26.9,30.6,69.4,20260719 2320
2026-07-20T00:08:00.695786+09:00,가로수길,가로수길,POI059,KEY_3,한산한,9,800000,850000,80.5,19.5,0.0,1.3,45.6,33.6,11.5,7.9,95.1,4.9,20260719 2340
2026-07-20T00:08:00.695786+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,26,50000,60000,68.2,31.8,0.0,0.0,31.8,0.0,68.2,0.0,100.0,0.0,20260719 2140
2026-07-20T00:08:00.695786+09:00,김포공항,김포공항,POI061,KEY_1,한산한,4,20000,30000,7.9,92.1,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,20260719 2210
2026-07-20T00:08:00.695786+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,4,20000,30000,100.0,0.0,0.0,0.0,0.0,71.4,28.6,0.0,100.0,0.0,20260719 2220
2026-07-20T00:08:00.695786+09:00,노량진,노량진,POI063,KEY_3,보통,21,200000,250000,87.7,12.3,2.0,71.7,18.9,0.8,2.5,4.1,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,6,30000,40000,60.0,40.0,0.0,28.6,0.0,34.3,14.3,22.9,100.0,0.0,20260719 2140
2026-07-20T00:08:00.695786+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,80000,90000,23.5,76.5,0.0,0.0,23.5,28.2,0.0,48.2,100.0,0.0,20260719 2120
2026-07-20T00:08:00.695786+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,5,30000,40000,88.2,11.8,0.0,5.9,5.9,0.0,41.2,47.1,100.0,0.0,20260719 2300
2026-07-20T00:08:00.695786+09:00,서촌,서촌,POI067,KEY_3,한산한,4,20000,30000,100.0,0.0,0.0,0.0,14.3,85.7,0.0,0.0,100.0,0.0,20260719 2340
2026-07-20T00:08:00.695786+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,4,20000,30000,0.0,100.0,0.0,64.3,0.0,35.7,0.0,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,5,30000,40000,42.1,57.9,0.0,81.6,18.4,0.0,0.0,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,5,80000,90000,84.3,15.7,0.0,77.1,0.0,0.0,22.9,0.0,100.0,0.0,20260719 2320
2026-07-20T00:08:00.695786+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,5,600000,650000,100.0,0.0,0.0,4.6,90.7,0.0,0.0,4.6,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,여의도,여의도,POI072,KEY_4,한산한,11,100000,150000,78.6,21.4,0.0,14.3,7.1,63.4,15.2,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,연남동,연남동,POI073,KEY_1,한산한,7,300000,350000,31.4,68.6,0.0,32.0,59.8,3.4,4.9,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,보통,8,600000,650000,42.3,57.7,0.0,55.4,33.9,0.0,10.8,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,200000,250000,75.4,24.6,0.0,71.5,25.9,0.0,2.6,0.0,100.0,0.0,20260719 2340
2026-07-20T00:08:00.695786+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,한산한,5,30000,40000,80.0,20.0,0.0,76.7,23.3,0.0,0.0,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,익선동,익선동,POI116,KEY_1,보통,10,1000000,1100000,96.7,3.3,0.0,17.1,14.6,53.4,15.0,0.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,인사동,인사동,POI078,KEY_2,한산한,5,60000,70000,9.1,90.9,0.0,4.5,4.5,0.0,90.9,0.0,100.0,0.0,20260719 2340
2026-07-20T00:08:00.695786+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,한산한,21,550000,600000,64.5,35.5,0.0,43.2,40.3,13.1,0.3,3.0,100.0,0.0,20260719 2350
2026-07-20T00:08:00.695786+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,15,70000,80000,88.0,12.0,5.3,37.3,44.0,0.0,0.0,13.3,100.0,0.0,20260719 2350
