fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-07-11T00:39:26.273945+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,4,200000,250000,100.0,0.0,0.0,97.0,3.0,0.0,0.0,0.0,63.8,36.2,20260711 0010
2026-07-11T00:39:26.273945+09:00,보신각,보신각,POI010,KEY_3,보통,21,1000000,1100000,88.5,11.5,0.0,31.5,56.7,10.6,0.0,1.3,88.7,11.3,20260711 0010
2026-07-11T00:39:26.273945+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,5,30000,40000,45.8,54.2,0.0,41.6,45.8,0.0,12.6,0.0,100.0,0.0,20260710 2310
2026-07-11T00:39:26.273945+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,6,20000,30000,54.5,45.5,0.0,45.5,0.0,54.5,0.0,0.0,45.8,54.2,20260711 0010
2026-07-11T00:39:26.273945+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,22,1100000,1200000,88.0,12.0,0.0,15.1,75.9,4.6,1.0,3.5,92.6,7.4,20260711 0010
2026-07-11T00:39:26.273945+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,분주한,97,3300000,3400000,77.6,22.4,0.4,36.7,46.2,7.1,9.3,0.4,100.0,0.0,20260711 0010
2026-07-11T00:39:26.273945+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,보통,48,2200000,2300000,83.3,16.7,0.0,19.4,35.2,5.1,21.0,19.3,99.8,0.2,20260711 0010
2026-07-11T00:39:26.273945+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,보통,45,2200000,2300000,59.2,40.8,0.0,30.9,41.4,6.4,16.1,5.2,73.8,26.2,20260711 0010
2026-07-11T00:39:26.273945+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,바쁜,194,6700000,6800000,58.2,41.8,0.3,37.9,24.5,21.2,14.4,1.8,99.8,0.2,20260711 0010
2026-07-11T00:39:26.273945+09:00,가락시장,가락시장,POI058,KEY_2,보통,17,600000,650000,71.7,28.3,0.0,2.5,3.8,56.6,14.8,22.3,59.6,40.4,20260711 0010
2026-07-11T00:39:26.273945+09:00,가로수길,가로수길,POI059,KEY_3,한산한,22,550000,600000,46.1,53.9,0.0,40.5,31.4,14.0,13.2,0.8,100.0,0.0,20260711 0010
2026-07-11T00:39:26.273945+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,5,30000,40000,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,20260710 2200
2026-07-11T00:39:26.273945+09:00,김포공항,김포공항,POI061,KEY_1,한산한,4,10000,20000,66.7,33.3,0.0,66.7,0.0,33.3,0.0,0.0,100.0,0.0,20260710 2250
