fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-08-24T00:33:08.080206+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,6,30000,40000,89.5,10.5,0.0,0.0,100.0,0.0,0.0,0.0,50.0,50.0,20260823 2350
2026-08-24T00:33:08.080206+09:00,보신각,보신각,POI010,KEY_3,한산한,4,80000,90000,60.7,39.3,0.0,6.7,93.3,0.0,0.0,0.0,100.0,0.0,20260823 2340
2026-08-24T00:33:08.080206+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,50000,60000,21.7,78.3,0.0,39.1,36.2,24.6,0.0,0.0,100.0,0.0,20260823 2220
2026-08-24T00:33:08.080206+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,11,50000,60000,75.5,24.5,0.0,46.9,4.1,24.5,6.1,18.4,90.9,9.1,20260824 0000
2026-08-24T00:33:08.080206+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,13,50000,60000,72.9,27.1,2.1,18.8,0.0,14.6,64.6,0.0,90.6,9.4,20260824 0000
2026-08-24T00:33:08.080206+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,바쁜,34,1100000,1200000,76.5,23.5,0.7,19.6,32.6,36.2,9.5,1.3,96.6,3.4,20260824 0000
2026-08-24T00:33:08.080206+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,보통,35,1100000,1200000,69.7,30.3,6.6,16.4,57.0,4.0,9.0,6.9,89.5,10.5,20260824 0000
2026-08-24T00:33:08.080206+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,17,300000,350000,84.6,15.4,0.0,1.9,79.6,10.5,8.0,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,보통,85,1800000,1900000,56.1,43.9,7.6,33.3,26.7,19.6,8.7,4.2,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,가락시장,가락시장,POI058,KEY_2,한산한,4,10000,20000,94.0,6.0,0.0,0.4,0.0,14.3,0.9,84.4,49.1,50.9,20260824 0000
2026-08-24T00:33:08.080206+09:00,가로수길,가로수길,POI059,KEY_3,한산한,9,300000,350000,26.5,73.5,0.0,6.1,1.6,86.7,4.5,1.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,5,200000,250000,43.5,56.5,0.0,56.5,43.5,0.0,0.0,0.0,100.0,0.0,20260823 2130
2026-08-24T00:33:08.080206+09:00,김포공항,김포공항,POI061,KEY_1,한산한,6,20000,30000,86.2,13.8,0.0,41.4,31.0,13.8,0.0,13.8,100.0,0.0,20260823 2220
2026-08-24T00:33:08.080206+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,4,10000,20000,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,노량진,노량진,POI063,KEY_3,한산한,5,20000,30000,100.0,0.0,0.0,0.0,83.3,8.3,8.3,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,5,100000,150000,10.2,89.8,0.0,42.4,13.6,0.0,44.1,0.0,100.0,0.0,20260823 1950
2026-08-24T00:33:08.080206+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,10000,20000,72.2,27.8,0.0,27.8,0.0,0.0,72.2,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,4,20000,30000,45.5,54.5,0.0,27.3,0.0,18.2,54.5,0.0,100.0,0.0,20260823 2210
2026-08-24T00:33:08.080206+09:00,서촌,서촌,POI067,KEY_3,한산한,4,50000,60000,90.0,10.0,0.0,10.0,65.0,25.0,0.0,0.0,34.5,65.5,20260823 2330
2026-08-24T00:33:08.080206+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,6,20000,30000,92.0,8.0,0.0,16.0,8.0,44.0,32.0,0.0,100.0,0.0,20260823 2350
2026-08-24T00:33:08.080206+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,4,80000,90000,27.9,72.1,0.0,88.4,0.0,0.0,0.0,11.6,100.0,0.0,20260823 2340
2026-08-24T00:33:08.080206+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,5,50000,60000,21.4,78.6,0.0,91.1,8.9,0.0,0.0,0.0,100.0,0.0,20260823 2330
2026-08-24T00:33:08.080206+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,5,40000,50000,26.2,73.8,0.0,26.2,9.5,31.0,33.3,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,여의도,여의도,POI072,KEY_4,한산한,15,100000,150000,90.7,9.3,0.0,18.6,22.0,53.4,5.9,0.0,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,연남동,연남동,POI073,KEY_1,한산한,10,90000,100000,51.0,49.0,0.0,12.5,63.5,19.8,0.0,4.2,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,보통,19,500000,550000,61.9,38.1,0.0,36.7,49.6,2.0,1.1,10.6,100.0,0.0,20260824 0000
2026-08-24T00:33:08.080206+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,300000,350000,100.0,0.0,26.3,52.5,0.0,0.0,21.3,0.0,46.0,54.0,20260823 2330
