fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-08-10T00:41:45.162968+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,6,10000,20000,35.0,65.0,0.0,0.0,45.0,25.0,30.0,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,보신각,보신각,POI010,KEY_3,한산한,5,20000,30000,83.3,16.7,16.7,20.8,45.8,16.7,0.0,0.0,100.0,0.0,20260809 2310
2026-08-10T00:41:45.162968+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,50000,60000,0.0,100.0,23.3,0.0,0.0,0.0,76.7,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,4,30000,40000,100.0,0.0,0.0,0.0,69.7,0.0,30.3,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,7,100000,150000,93.7,6.3,0.0,7.9,65.1,11.9,15.1,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,바쁜,18,1200000,1300000,93.7,6.3,0.0,34.6,60.4,0.8,0.3,4.0,88.5,11.5,20260810 0000
2026-08-10T00:41:45.162968+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,보통,37,1000000,1100000,67.9,32.1,0.0,34.5,47.1,11.0,2.2,5.3,97.2,2.8,20260810 0000
2026-08-10T00:41:45.162968+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,11,150000,200000,82.8,17.2,2.3,44.8,27.6,2.3,23.1,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,보통,127,4000000,4100000,60.1,39.9,7.7,54.2,25.5,4.7,6.6,1.3,98.5,1.5,20260810 0000
2026-08-10T00:41:45.162968+09:00,가락시장,가락시장,POI058,KEY_2,한산한,11,150000,200000,26.3,73.7,0.0,1.8,70.2,0.0,14.0,14.0,28.8,71.2,20260810 0000
2026-08-10T00:41:45.162968+09:00,가로수길,가로수길,POI059,KEY_3,한산한,11,450000,500000,29.7,70.3,0.0,72.0,13.6,12.0,2.4,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,4,200000,250000,59.3,40.7,0.0,55.8,19.5,1.3,23.5,0.0,100.0,0.0,20260809 2130
2026-08-10T00:41:45.162968+09:00,김포공항,김포공항,POI061,KEY_1,보통,7,100000,150000,69.2,30.8,0.0,21.0,69.2,0.0,9.8,0.0,100.0,0.0,20260809 2200
2026-08-10T00:41:45.162968+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,4,20000,30000,70.8,29.2,0.0,12.5,29.2,0.0,58.3,0.0,100.0,0.0,20260809 2330
2026-08-10T00:41:45.162968+09:00,노량진,노량진,POI063,KEY_3,한산한,10,60000,70000,82.4,17.6,8.3,26.9,5.6,0.0,35.2,24.1,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,4,30000,40000,100.0,0.0,0.0,10.5,89.5,0.0,0.0,0.0,100.0,0.0,20260809 2050
2026-08-10T00:41:45.162968+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,6,60000,70000,87.8,12.2,0.0,17.1,0.0,82.9,0.0,0.0,60.3,39.7,20260809 2310
2026-08-10T00:41:45.162968+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,5,10000,20000,64.7,35.3,0.0,11.8,0.0,58.8,29.4,0.0,100.0,0.0,20260809 2240
2026-08-10T00:41:45.162968+09:00,서촌,서촌,POI067,KEY_3,한산한,4,30000,40000,69.7,30.3,0.0,48.5,30.3,21.2,0.0,0.0,100.0,0.0,20260809 2340
2026-08-10T00:41:45.162968+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,7,40000,50000,100.0,0.0,0.0,0.0,19.0,47.6,33.3,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,10,40000,50000,86.0,14.0,0.0,9.3,44.2,46.5,0.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,11,50000,60000,50.9,49.1,3.5,77.2,0.0,0.0,19.3,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,8,450000,500000,36.7,63.3,0.0,18.0,62.9,0.0,19.1,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,여의도,여의도,POI072,KEY_4,한산한,5,20000,30000,90.5,9.5,0.0,9.5,19.0,52.4,19.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,연남동,연남동,POI073,KEY_1,한산한,9,300000,350000,48.4,51.6,0.0,30.8,55.4,0.9,12.9,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,한산한,12,200000,250000,56.4,43.6,0.0,46.2,25.8,14.0,14.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,300000,350000,41.8,58.2,0.0,22.5,37.3,0.0,0.0,40.2,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,바쁜,10,350000,400000,52.9,47.1,0.0,0.5,42.7,47.1,0.0,9.6,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,익선동,익선동,POI116,KEY_1,한산한,4,20000,30000,84.6,15.4,0.0,15.4,53.8,30.8,0.0,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,인사동,인사동,POI078,KEY_2,한산한,4,20000,30000,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,20260809 2340
2026-08-10T00:41:45.162968+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,보통,32,1000000,1100000,69.2,30.8,0.0,35.5,47.3,11.3,1.2,4.7,97.1,2.9,20260810 0000
2026-08-10T00:41:45.162968+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,9,30000,40000,48.7,51.3,0.0,97.4,2.6,0.0,0.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,한산한,4,30000,40000,100.0,0.0,0.0,0.0,46.7,0.0,13.3,40.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,한산한,4,20000,30000,57.1,42.9,0.0,57.1,0.0,42.9,0.0,0.0,100.0,0.0,20260809 2340
2026-08-10T00:41:45.162968+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,한산한,6,60000,70000,83.6,16.4,0.0,7.5,44.8,26.9,20.9,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,DDP(동대문디자인플라자),DDP(동대문디자인플라자),POI083,KEY_4,한산한,4,60000,70000,28.7,71.3,0.0,0.0,54.5,19.8,0.0,25.7,100.0,0.0,20260809 1950
2026-08-10T00:41:45.162968+09:00,DMC(디지털미디어시티),DMC(디지털미디어시티),POI084,KEY_1,한산한,10,40000,50000,83.7,16.3,0.0,0.0,75.5,12.2,12.2,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,가산디지털단지역,가산디지털단지역,POI013,KEY_2,한산한,5,30000,40000,80.6,19.4,0.0,38.7,61.3,0.0,0.0,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,강남역,강남역,POI014,KEY_3,한산한,37,850000,900000,80.2,19.8,5.8,49.9,21.5,16.5,6.3,0.0,89.5,10.5,20260810 0000
2026-08-10T00:41:45.162968+09:00,건대입구역,건대입구역,POI015,KEY_4,한산한,44,600000,650000,52.2,47.8,9.6,44.2,38.7,1.0,1.3,5.2,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,고덕역,고덕역,POI016,KEY_1,한산한,4,10000,20000,78.6,21.4,0.0,14.3,42.9,7.1,0.0,35.7,100.0,0.0,20260809 2310
2026-08-10T00:41:45.162968+09:00,고속터미널역,고속터미널역,POI017,KEY_2,한산한,8,30000,40000,68.8,31.3,0.0,46.9,40.6,12.5,0.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,교대역,교대역,POI018,KEY_3,한산한,4,20000,30000,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,구로디지털단지역,구로디지털단지역,POI019,KEY_4,한산한,13,300000,350000,32.5,67.5,0.0,13.1,51.6,1.9,33.4,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,구로역,구로역,POI020,KEY_1,한산한,12,200000,250000,69.7,30.3,0.0,0.0,6.5,3.5,68.4,21.6,100.0,0.0,20260809 2150
2026-08-10T00:41:45.162968+09:00,군자역,군자역,POI021,KEY_2,한산한,5,30000,40000,33.3,66.7,0.0,77.8,22.2,0.0,0.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,대림역,대림역,POI023,KEY_3,한산한,5,30000,40000,48.6,51.4,0.0,0.0,0.0,45.9,43.2,10.8,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,동대문역,동대문역,POI024,KEY_4,한산한,4,10000,20000,100.0,0.0,0.0,0.0,71.4,0.0,0.0,28.6,100.0,0.0,20260809 2320
2026-08-10T00:41:45.162968+09:00,뚝섬역,뚝섬역,POI025,KEY_1,한산한,8,60000,70000,48.1,51.9,0.0,25.0,50.0,0.0,3.8,21.2,80.0,20.0,20260809 2340
2026-08-10T00:41:45.162968+09:00,미아사거리역,미아사거리역,POI026,KEY_2,한산한,8,50000,60000,88.2,11.8,0.0,58.8,39.2,0.0,2.0,0.0,100.0,0.0,20260809 2350
2026-08-10T00:41:45.162968+09:00,발산역,발산역,POI027,KEY_3,한산한,9,80000,90000,48.6,51.4,0.0,30.0,24.3,17.1,14.3,14.3,87.5,12.5,20260810 0000
2026-08-10T00:41:45.162968+09:00,사당역,사당역,POI029,KEY_4,한산한,13,80000,90000,61.9,38.1,0.0,25.0,53.6,9.5,10.7,1.2,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,서울대입구역,서울대입구역,POI031,KEY_2,한산한,12,40000,50000,60.0,40.0,0.0,62.5,17.5,0.0,20.0,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,서울식물원·마곡나루역,서울식물원·마곡나루역,POI032,KEY_3,한산한,5,40000,50000,92.7,7.3,4.9,0.0,51.2,0.0,24.4,19.5,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,서울역,서울역,POI033,KEY_4,한산한,15,500000,550000,80.5,19.5,0.0,0.0,0.0,0.0,25.4,74.6,100.0,0.0,20260809 2150
2026-08-10T00:41:45.162968+09:00,선릉역,선릉역,POI034,KEY_1,한산한,6,30000,40000,80.6,19.4,0.0,0.0,27.8,47.2,16.7,8.3,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,성신여대입구역,성신여대입구역,POI035,KEY_2,한산한,13,250000,300000,47.8,52.2,16.7,6.4,75.3,0.0,1.6,0.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,수유역,수유역,POI036,KEY_3,보통,16,350000,400000,95.0,5.0,3.9,11.3,0.0,15.2,5.0,64.6,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,신논현역·논현역,신논현역·논현역,POI037,KEY_2,한산한,6,40000,50000,65.0,35.0,10.0,17.5,10.0,27.5,25.0,10.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,신도림역,신도림역,POI038,KEY_3,한산한,4,10000,20000,100.0,0.0,56.3,0.0,43.8,0.0,0.0,0.0,100.0,0.0,20260809 2130
2026-08-10T00:41:45.162968+09:00,신림역,신림역,POI039,KEY_4,한산한,42,300000,350000,80.6,19.4,0.0,48.1,45.8,2.3,1.7,2.0,100.0,0.0,20260810 0000
2026-08-10T00:41:45.162968+09:00,신정네거리역,신정네거리역,POI117,KEY_1,한산한,4,10000,20000,64.7,35.3,0.0,0.0,0.0,64.7,35.3,0.0,100.0,0.0,20260809 2340
2026-08-10T00:41:45.162968+09:00,신촌·이대역,신촌·이대역,POI040,KEY_2,한산한,25,250000,300000,74.3,25.7,0.0,68.0,18.0,6.0,3.3,4.7,100.0,0.0,20260810 0000
