fetched_at,place_name,AREA_NM,AREA_CD,_key_used,AREA_CMRCL_LVL,AREA_SH_PAYMENT_CNT,AREA_SH_PAYMENT_AMT_MIN,AREA_SH_PAYMENT_AMT_MAX,CMRCL_MALE_RATE,CMRCL_FEMALE_RATE,CMRCL_10_RATE,CMRCL_20_RATE,CMRCL_30_RATE,CMRCL_40_RATE,CMRCL_50_RATE,CMRCL_60_RATE,CMRCL_PERSONAL_RATE,CMRCL_CORPORATION_RATE,CMRCL_TIME
2026-09-09T03:34:23.527512+09:00,광화문·덕수궁,광화문·덕수궁,POI009,KEY_2,한산한,6,40000,50000,88.4,11.6,0.0,11.6,53.5,0.0,34.9,0.0,91.5,8.5,20260909 0020
2026-09-09T03:34:23.527512+09:00,보신각,보신각,POI010,KEY_3,한산한,12,350000,400000,91.1,8.9,0.3,5.4,16.8,48.0,0.0,29.5,100.0,0.0,20260908 2350
2026-09-09T03:34:23.527512+09:00,강남 MICE 관광특구,강남 MICE 관광특구,POI001,KEY_2,한산한,4,10000,20000,100.0,0.0,0.0,0.0,87.5,0.0,0.0,12.5,100.0,0.0,20260909 0000
2026-09-09T03:34:23.527512+09:00,동대문 관광특구,동대문 관광특구,POI002,KEY_3,한산한,4,10000,20000,88.2,11.8,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,명동 관광특구,명동 관광특구,POI003,KEY_4,한산한,4,20000,30000,100.0,0.0,0.0,0.0,70.8,20.8,0.0,8.3,100.0,0.0,20260909 0250
2026-09-09T03:34:23.527512+09:00,이태원 관광특구,이태원 관광특구,POI004,KEY_1,한산한,8,150000,200000,100.0,0.0,0.0,25.5,73.9,0.0,0.0,0.6,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,잠실 관광특구,잠실 관광특구,POI005,KEY_2,한산한,6,40000,50000,83.7,16.3,0.0,30.2,69.8,0.0,0.0,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,종로·청계 관광특구,종로·청계 관광특구,POI006,KEY_3,한산한,5,40000,50000,95.1,4.9,0.0,17.1,4.9,58.5,19.5,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,홍대 관광특구,홍대 관광특구,POI007,KEY_4,보통,26,1300000,1400000,93.3,6.7,0.9,14.5,1.0,2.1,81.3,0.1,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,가락시장,가락시장,POI058,KEY_2,한산한,4,30000,40000,97.1,2.9,0.0,85.7,2.9,0.0,11.4,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,가로수길,가로수길,POI059,KEY_3,한산한,5,10000,20000,50.0,50.0,0.0,16.7,0.0,0.0,83.3,0.0,100.0,0.0,20260909 0250
2026-09-09T03:34:23.527512+09:00,광장(전통)시장,광장(전통)시장,POI060,KEY_4,한산한,4,150000,200000,71.7,28.3,0.0,33.3,23.9,14.5,28.3,0.0,100.0,0.0,20260908 2230
2026-09-09T03:34:23.527512+09:00,김포공항,김포공항,POI061,KEY_1,한산한,4,10000,20000,45.5,54.5,0.0,50.0,45.5,0.0,4.5,0.0,100.0,0.0,20260908 2240
2026-09-09T03:34:23.527512+09:00,남대문시장,남대문시장,POI115,KEY_2,한산한,4,10000,20000,66.7,33.3,0.0,33.3,0.0,40.0,26.7,0.0,100.0,0.0,20260909 0130
2026-09-09T03:34:23.527512+09:00,노량진,노량진,POI063,KEY_3,한산한,5,20000,30000,59.3,40.7,0.0,14.8,70.4,0.0,0.0,14.8,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,덕수궁길·정동길,덕수궁길·정동길,POI064,KEY_4,한산한,4,10000,20000,92.3,7.7,0.0,30.8,46.2,0.0,15.4,7.7,100.0,0.0,20260908 2100
2026-09-09T03:34:23.527512+09:00,북창동 먹자골목,북창동 먹자골목,POI114,KEY_1,한산한,4,60000,70000,100.0,0.0,0.0,14.3,0.0,85.7,0.0,0.0,21.2,78.8,20260909 0230
2026-09-09T03:34:23.527512+09:00,북촌한옥마을,북촌한옥마을,POI066,KEY_2,한산한,7,150000,200000,98.2,1.8,0.0,0.0,83.6,13.3,1.2,1.8,100.0,0.0,20260908 2220
2026-09-09T03:34:23.527512+09:00,서촌,서촌,POI067,KEY_3,한산한,4,30000,40000,41.9,58.1,0.0,0.0,58.1,6.5,35.5,0.0,100.0,0.0,20260909 0110
2026-09-09T03:34:23.527512+09:00,성수카페거리,성수카페거리,POI068,KEY_4,한산한,7,40000,50000,19.1,80.9,0.0,12.8,36.2,0.0,14.9,36.2,100.0,0.0,20260909 0150
2026-09-09T03:34:23.527512+09:00,송리단길·호수단길,송리단길·호수단길,POI121,KEY_1,한산한,4,30000,40000,59.5,40.5,0.0,0.0,37.8,24.3,21.6,16.2,100.0,0.0,20260909 0200
2026-09-09T03:34:23.527512+09:00,신촌 스타광장,신촌 스타광장,POI122,KEY_2,한산한,4,150000,200000,0.0,100.0,33.3,65.4,0.0,0.0,0.0,1.3,100.0,0.0,20260909 0000
2026-09-09T03:34:23.527512+09:00,압구정로데오거리,압구정로데오거리,POI071,KEY_3,한산한,10,300000,350000,85.5,14.5,0.0,61.9,20.5,0.0,17.5,0.0,98.8,1.2,20260909 0220
2026-09-09T03:34:23.527512+09:00,여의도,여의도,POI072,KEY_4,한산한,4,30000,40000,81.3,18.8,0.0,0.0,78.1,21.9,0.0,0.0,100.0,0.0,20260909 0310
2026-09-09T03:34:23.527512+09:00,연남동,연남동,POI073,KEY_1,한산한,5,50000,60000,100.0,0.0,0.0,76.9,15.4,7.7,0.0,0.0,100.0,0.0,20260909 0300
2026-09-09T03:34:23.527512+09:00,영등포 타임스퀘어,영등포 타임스퀘어,POI074,KEY_2,한산한,5,50000,60000,100.0,0.0,0.0,3.7,96.3,0.0,0.0,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,용리단길,용리단길,POI076,KEY_3,한산한,4,200000,250000,85.4,14.6,0.0,79.1,20.9,0.0,0.0,0.0,100.0,0.0,20260909 0120
2026-09-09T03:34:23.527512+09:00,이태원 앤틱가구거리,이태원 앤틱가구거리,POI077,KEY_4,한산한,4,40000,50000,100.0,0.0,0.0,30.0,67.5,0.0,0.0,2.5,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,익선동,익선동,POI116,KEY_1,한산한,4,20000,30000,31.8,68.2,0.0,13.6,18.2,0.0,0.0,68.2,100.0,0.0,20260909 0250
2026-09-09T03:34:23.527512+09:00,인사동,인사동,POI078,KEY_2,한산한,4,10000,20000,26.1,73.9,0.0,0.0,43.5,26.1,30.4,0.0,100.0,0.0,20260909 0010
2026-09-09T03:34:23.527512+09:00,잠실롯데타워·석촌호수,잠실롯데타워·석촌호수,POI120,KEY_3,한산한,6,40000,50000,83.7,16.3,0.0,30.2,69.8,0.0,0.0,0.0,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,창동 신경제 중심지,창동 신경제 중심지,POI079,KEY_4,한산한,8,200000,250000,95.6,4.4,0.0,27.0,1.0,69.1,0.0,2.9,100.0,0.0,20260909 0320
2026-09-09T03:34:23.527512+09:00,청담동 명품거리,청담동 명품거리,POI080,KEY_1,한산한,5,50000,60000,71.9,28.1,0.0,0.0,12.5,59.4,0.0,28.1,66.0,34.0,20260908 2350
2026-09-09T03:34:23.527512+09:00,청량리 제기동 일대 전통시장,청량리 제기동 일대 전통시장,POI081,KEY_2,한산한,4,40000,50000,59.5,40.5,0.0,11.9,47.6,28.6,0.0,11.9,100.0,0.0,20260909 0000
2026-09-09T03:34:23.527512+09:00,해방촌·경리단길,해방촌·경리단길,POI082,KEY_3,한산한,5,30000,40000,52.9,47.1,0.0,35.3,26.5,23.5,0.0,14.7,100.0,0.0,20260909 0010
